pillar,model,processed_cv
SigLIP-Advanced,cat_seed0,0.787076
SigLIP-Advanced,svr_seed0,0.806527
SigLIP-Advanced,xgb_seed0,0.780913
SigLIP-Advanced,bayes_ridge,0.775506
SigLIP-Advanced,elastic_net,0.762146
SigLIP-Advanced,extra_trees,0.772807
SigLIP-Advanced,xgb_seed1,0.780169
SigLIP-Advanced,svr_seed1,0.806527
SigLIP-Advanced,cat_seed1,0.785193
SigLIP-Advanced,ridge_seed0,0.772425
SigLIP-Advanced,ridge_seed1,0.772079
SigLIP-Advanced,elastic_net_seed1,0.764518
SigLIP-Advanced,ridge_meta,0.846518
SigLIP-Legacy,gb,0.74727
SigLIP-Legacy,hgb,0.747393
SigLIP-Legacy,cat,0.768991
SigLIP-Legacy,lgbm,0.744318
Dinov2-L,dinov2_cat,0.58236
Dinov2-L,dinov2_xgb,0.556668
Dinov2-L,dinov2_ridge,0.283534
Dinov2-L,dinov2_weighted,0.586841
