pillar,model,processed_cv
SigLIP-Advanced,cat_seed0,0.756987
SigLIP-Advanced,svr_seed0,0.795884
SigLIP-Advanced,xgb_seed0,0.743458
SigLIP-Advanced,bayes_ridge,0.761095
SigLIP-Advanced,elastic_net,0.719437
SigLIP-Advanced,extra_trees,0.744644
SigLIP-Advanced,xgb_seed1,0.744616
SigLIP-Advanced,svr_seed1,0.795884
SigLIP-Advanced,cat_seed1,0.760065
SigLIP-Advanced,ridge_seed0,0.747404
SigLIP-Advanced,ridge_seed1,0.746323
SigLIP-Advanced,elastic_net_seed1,0.726411
SigLIP-Advanced,ridge_meta,0.840047
SigLIP-Legacy,gb,0.732094
SigLIP-Legacy,hgb,0.738941
SigLIP-Legacy,cat,0.764357
SigLIP-Legacy,lgbm,0.735742
Dinov2-L,dinov2_cat,0.696639
Dinov2-L,dinov2_xgb,0.676344
Dinov2-L,dinov2_lgbm,0.670893
Dinov2-L,dinov2_lasso,0.619997
Dinov2-L,dinov2_ridge_meta,0.736374
Dinov2-L,dinov2_blended,0.733041
